epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5749,1.19942,3.43678,1.12896,0.00346,0.875,0.5051,0.33254,0.98612,3.94074,0.88835,0.00044,0.00044,0.00044
2,195.395,1.2406,2.36892,1.09585,0.45427,0.0625,0.09302,0.06331,1.04554,3.9008,0.95606,0.0008109,0.0008109,0.0008109
3,292.371,1.23483,2.12807,1.10152,0.43878,0.125,0.14279,0.10361,1.02903,3.74701,0.91906,0.00109072,0.00109072,0.00109072
4,387.877,1.21772,1.91235,1.11263,0.22365,0.28125,0.18153,0.14253,1.02857,3.69288,0.95847,0.00127946,0.00127946,0.00127946
5,482.949,1.15222,1.78505,1.09427,0.0415,0.3125,0.03111,0.01872,1.31742,9.37913,1.13582,0.001208,0.001208,0.001208
6,578.309,1.13168,1.65218,1.06113,0.91024,0.65625,0.76433,0.56158,0.98794,2.48297,0.95549,0.00101,0.00101,0.00101
7,674.141,1.07052,1.55567,1.04727,0.86569,0.84375,0.83595,0.57372,1.0033,2.03741,0.93701,0.000812,0.000812,0.000812
8,768.307,1.00455,1.37893,1.00667,0.9934,0.84375,0.91988,0.6899,0.85334,1.4071,0.87246,0.000614,0.000614,0.000614
9,863.083,0.95583,1.22786,0.99523,1,0.87094,0.93769,0.72294,0.81786,1.22499,0.87591,0.000416,0.000416,0.000416
10,958.145,0.94967,1.20702,0.97784,0.99408,0.875,0.95671,0.74197,0.83202,1.10294,0.87371,0.000218,0.000218,0.000218
